Position;step;solution;Set;raw;diff;logdiff;abwpro;logabwpro;diffsq;logdiffsq
Polishing tunnel (Nozzles);Truck;DS0200;S6;0.016875;0.00195;0.053329442;0.130653266;-0.883879728;3.80E-06;0.002844029
Polishing tunnel (Water);Truck;DS0200;S6;0.072625;0.042025;0.198287914;0.366550371;-0.435866337;0.001766101;0.039318097
Polishing tunnel (Whips);Truck;DS0200;S6;0.043125;0.02165;0.176678314;0.334233887;-0.475949521;0.000468723;0.031215226
Splitting saw;Truck;DS0200;S6;0.016125;0.0061;0.206415342;0.608478803;-0.215754546;0.00003721;0.042607293
Sticking;Truck;DS0200;S6;0.007;0;0;0;NA;0;0
Truck (Gloves);Truck;DS0200;S6;0.11;0.0364;0.124148392;0.24863388;-0.604439693;0.00132496;0.015412823
Truck (Wall);Truck;DS0200;S6;0.003;0.0018;0.204119983;0.375;-0.425968732;0.00000324;0.041664967
Unknown;Truck;DS0200;S6;0.537625;0.17265;0.168216338;0.473046099;-0.325096535;0.029808023;0.028296736
Anal Swab;Singeing;DS0200;S7;0.0015;0.00065;0.156347201;0.302325581;-0.519525103;4.23E-07;0.024444447
Classification (Gloves);Singeing;DS0200;S7;0.023625;0.00355;0.060797736;0.130634775;-0.8839412;1.26E-05;0.003696365
Classification (Railing);Singeing;DS0200;S7;0.06;0.02355;0.143795204;0.281867145;-0.549955543;0.000554603;0.020677061
Cooling chamber (Wall_A);Singeing;DS0200;S7;0.0025;0.00235;1.22184875;15.66666667;1.194976603;5.52E-06;1.492914367
Evisceration (Aprons);Singeing;DS0200;S7;0.022375;0.011525;0.314333306;1.062211982;0.026211196;0.000132826;0.098805427
Evisceration (Gloves);Singeing;DS0200;S7;0.0075;0.002375;0.119475841;0.240506329;-0.61887349;5.64E-06;0.014274477
Evisceration (Knifes);Singeing;DS0200;S7;0.008125;0.003075;0.206531992;0.608910891;-0.215446258;9.46E-06;0.042655464
Lock (Hands_A);Singeing;DS0200;S7;0.006375;0.0032;0.302736459;1.007874016;0.003406249;0.00001024;0.091649364
Lock (Shoes_A);Singeing;DS0200;S7;0.011625;0.004225;0.196161242;0.570945946;-0.243405006;1.79E-05;0.038479233
Polishing tunnel (Nozzles);Singeing;DS0200;S7;0.006125;0.00105;0.068715812;0.146341463;-0.834632606;1.10E-06;0.004721863
